SLNo.,CATEGORY,DESCRIPTION,CITY
45,Ameritrade Institutional,Please attach a COPY of the most recent statement from the institution you are transferring from. The statement should be from within the past six months to best display the most accurate holdings. Please note the statement is used to process your request so an accurate statement allows for best results,
46,Ameritrade Institutional,Do not use this form to transfer between TD Ameritrade accounts,
47,Ameritrade Institutional,"Your goals are unique, so your investment guidance should be too. We take the time to listen and understand what matters most to you before helping you develop and manage your investment strategy. Call us today at 800-870-9668 to get started",
48,Ameritrade Institutional,"Get a managed portfolio recommendation to fit your goals and ongoing support from TD Ameritrade Investment Management, LLC",
49,Ameritrade Institutional,"For more complex advisory needs, get an introduction to an independent Registered Investment Advisor through our advisor referral program",
50,Ameritrade Institutional,"We offer a broad range of products and services to help you pursue your financial goals, and we can help you choose the right approach",
51,Ameritrade Institutional,It's no secret that life changes are going to impact your financial goals. That's why we've made it as easy as possible to set your goals and stay on track,
52,Ameritrade Institutional,"Value is so much more than a price tag. With TD Ameritrade, not only can you trade commission-free online, but you get access to all our platforms and products with no deposit minimums, trading minimums, or hidden fees",
53,Ameritrade Institutional,"Get access to stocks, bonds & CDs, options, non-proprietary mutual funds, futures, forex, commission-free ETFs*, and more to stay diversified and ready to take advantage of a wider range of opportunities",
54,Ameritrade Institutional,Knowledge is your most valuable asset. That's why we built a one-of-its kind AI-powered experience designed to help you grow as an investor with content tailored to your own personal investing goals and needs,
55,Ameritrade Institutional,"Make informed trades with an incredible depth of data and insights from reputed independent third parties like Morningstar, CFRA (Formerly S&P Capital IQ), and TheStreet",
56,Ameritrade Institutional,"Our experienced, licensed associates know the market—and how much your money means to you. It’s this foundation that makes them so committed to helping you better understand the market so you can make the best financial decisions for your future",
57,Ameritrade Institutional,"Stocks, options (if approved), mutual funds, exchange-traded funds (ETFs), bonds, and CDs are available in most accounts",
58,Ameritrade Institutional,"Investment choices may be limited in trusts, 529 education accounts, and pension plans",
59,Ameritrade Institutional,"Online trade commissions are $0.00 for U.S. exchange–listed stocks, ETFs, and options. A $0.65 per contract fee applies for options trades, with no minimum balances on most account types (excluding some promotional offers), no platform fees, and no trade minimums",
60,Ameritrade Institutional,"Our locations in Hong Kong and Singapore both offer opportunities in Customer Service, Trade Desk, Operations and Business Development positions. The roles will offer you a unique opportunity to gain broad based experience in all facets of the business. By using a hands-on training approach, you'll be able to develop your customer service skills through face-to-face and phone client interaction, placing trades, and fine-tuning your sales skills at TD Ameritrade events and trade shows.","Appling, Georgia"
61,Schwab_IRA,"Distributions from your IRA are generally subject to federal (and possibly state) income tax. Even if you elect in writing not to have federal and/or state income tax withheld, you are liable for payment of federal and state income taxes, if applicable, on the taxable portion of your distribution. You may also be subject to tax penalties under the estimated tax payment rules if your withholding and payment of estimated tax, if any, are not adequate","Champaign, Illinois"
62,Schwab_IRA,Your tax withholding election will remain in effect on all distributions from your Traditional IRA until you change or revoke it. You may change or revoke your tax withholding election at any time by submitting your requests to Schwab,"Alexandria, Louisiana"
63,Schwab_IRA,"Withholding income taxes may subject you to IRS penalties if you are under age 59½, because the amount withheld is considered a distribution. Schwab recommends that you contact your tax advisor regarding your tax withholding election","Kula, Hawaii"
64,Schwab_IRA,"Please select a withholding instruction for the taxable distribution that results from the conversion. If you do not make an election or have not previously made an election, Schwab is required to withhold 10% for payment of federal (and possibly state) income tax from your gross distribution","Washington, Virginia"
65,Schwab_IRA,"State tax withholding may be required from your distribution. In some cases, you may elect not to have withholding apply, or you may elect to increase the rate of withholding. In other cases, state tax withholding is not available. Refer to the State Income Tax Withholding Information sheet for specific information concerning your state’s withholding rates","Austin, Kentucky"
66,Schwab_IRA,"While Schwab makes every effort to obtain information about state tax laws from sources believed to be reliable, Schwab cannot guarantee the accuracy or timeliness of state tax withholding information because state laws are subject to constant change and interpretation. We recommend that you contact your tax advisor regarding your tax withholding elections and to answer any questions that you may have regarding your state’s withholding laws","Clinchport, Virginia"
67,Schwab_IRA,"A Schwab Qualified Plan is a Schwab Profit Sharing Qualified Retirement Plan or Keogh, a Schwab Individual 401(k), or a Schwab 403(b)(7) Account. State Income Tax Withholding: State tax withholding may be","Rudyard, Montana"
68,Schwab_IRA,The Cash Features Program is a service that offers the Bank Sweep feature (a “Cash Feature”) to permit your uninvested cash (the “Free Credit Balance”) to earn income while you decide how those funds should be invested longer term,"Westfield, Wisconsin"
69,Schwab_IRA,"You understand that additional information about the Cash Features Program and each Cash Feature is available in the Cash Features Disclosure Statement. By signing this Application, you consent to having the Free Credit Balance in your brokerage account included in the Cash Features Program, as described in the Cash Features Disclosure Statement","Seattle, Washington"
70,Schwab_IRA,"The Bank Sweep feature is designated as the Cash Feature for brokerage accounts of account holders residing in the U.S. Through the Bank Sweep feature, Schwab automatically makes deposits to and withdrawals from deposit accounts at one or more banks affiliated with Schwab (“Sweep Banks”)","Appling, Georgia"
71,Schwab_IRA,"Your deposits at each Sweep Bank are insured by the Federal Deposit Insurance Corporation (FDIC) up to $250,000 (including principal and accrued interest) when aggregated with all other deposits held by you in the same insurable capacity at that bank. Your funds may be placed in a Sweep Bank in excess of the FDIC insurance limit. In certain limited circumstances, Schwab may place your funds in a sweep money market fund. Please see the Cash Features Disclosure Statement for additional information",
72,Schwab_IRA,"You understand and agree that Schwab may (1) make changes to the terms and conditions of the Cash Features Program; (2) make changes to the terms and conditions of any Cash Feature; (3) change, add, or discontinue any Cash Feature; (4) change your investment from one Cash Feature to another if you become ineligible for your current Cash Feature or your current Cash Feature is discontinued; and (5) make any other changes to the  Cash Features Program or Cash Feature as allowed by law",
73,Schwab_IRA,"Schwab will notify you in writing of changes to the terms of the Cash Features, changes  to the Cash Features we make available, or changes to the Cash Features Program prior to the effective date of the proposed change",
74,Schwab_IRA,"You will receive account statements, trade confirmations, shareholder materials, account agreements and related disclosures, and other regulatory documents, if available in paperless form, by email. For certain documents, including account statements, you will receive an email notification with a link to log on to our secure website to access your documents",
75,Schwab_IRA,"For complete information, please see Important Information About Your Informed Consent to Receive Paperless Documents in the Appendix to this application. Enrollment may also qualify you for lower online equity trades—consult your IA or the applicable Charles Schwab Pricing Guide for additional details",
76,Schwab_IRA,"If you already have an account enrolled in Paperless Documents using the email address provided in Section 2, have logged on to schwaballiance.com in the past six months, and agree to the following, your paperless enrollment will be complete once your account is opened",
77,Schwab_IRA,"Trading and Disbursement Authorization for Checks and Journals. Selecting this option indicates that I have authorized my IA to take the following actions, and I instruct Schwab to permit my IA: (1) to place trades in my account as provided under the Trading Authorization heading in the attached Account Application Agreement; (2) to remit checks to me at my address of record; and (3) to journal cash and/or securities to a Schwab brokerage account on which I am named account holder (known as a first-party transfer)",
78,Schwab_IRA,"This disbursement authorization does not apply to wire disbursements; Schwab MoneyLink® distributions; or direct, ongoing electronic payments of dividends, interest, and money market income, which use separate forms. (Note: Trading and Disbursement Authorization for Checks and Journals is not available for Estate, Guardianship, or Conservatorship accounts",
79,Schwab_IRA,"Trading Authorization. Selecting this option indicates that I have authorized my IA, and I instruct Schwab to permit my IA, to place trades in my account as provided under the Trading Authorization heading in the attached Account Application Agreement",
80,Schwab_IRA,"Fee Payment Authorization. Selecting this option indicates that I have authorized my IA, and I instruct Schwab to permit my IA, to pay investment advisory and related fees to IA from my account or another account registered to my name, over which I have granted IA fee payment authorization in the amount of IA’s instructions",
81,Schwab_IRA,"If you have granted your IA trading authority over your account, and your IA exercises investment discretion for you pursuant to an advisory contract, you can appoint your IA to be sent certain issuer and issuer-related communications (proxies, tender offers, proposed mergers, rights offerings, exchange offers, and warrants, among other things) that may require a voting decision or other action regarding investments held in your account",
82,Schwab_IRA,"If you appoint your IA below, your IA will, regarding only those voting decisions or other action communications sent to your IA: (i) be requested to vote proxy ballots; (ii) be requested to provide instructions regarding corporate reorganizations and other corporate actions; and (iii) be sent certain prospectuses and annual reports and other communications. In these cases, you will be authorizing your IA to make all voting decisions and take all actions on your behalf. You will not be sent informational copies of these communications",
83,Schwab_IRA,I understand that I may change or revoke this designation at any time by completing a new Beneficiary Form with Schwab during my lifetime. It will become effective when Schwab receives it,
84,Schwab_IRA,"I understand that if Schwab determines that my beneficiary designation is not clear with respect to the amount of the distribution, the date on which the distribution shall be made, or the identity of the party or parties who will receive the distribution, Schwab shall have the right, in its sole discretion, to consult counsel and to institute legal proceedings to determine the proper distribution of the account, all at the expense of the account, before distributing or transferring the account",
85,Schwab_IRA,"If I live in a state with community property statutes and do not designate my spouse as the sole Primary Beneficiary, I represent and warrant that my spouse has consented to such designation",
86,Schwab_IRA,"The percentage portions must add up to 100% per beneficiary type. All portions can be extended to the hundredths position (e.g., 33.33%). If section is left blank, portions will be evenly distributed amongst beneficiaries",
87,Schwab_IRA,"You acknowledge that you have received and read the attached Application Agreement, which contains a predispute arbitration provision. You acknowledge that your signature signifies and constitutes your agreement that this account and your relationship with Schwab will be governed by the Application Agreement and all incorporated agreements and disclosures, including, but not limited to, the applicable Individual Retirement Plan and Disclosure Statement, the Schwab IRA and ESA Account Agreement, and the applicable Charles Schwab Pricing Guide, each as amended from time to time (the “Agreement and Disclosures”). You understand there are fees associated with establishing, maintaining, engaging in transactions, and transferring assets out of this account",
88,Schwab_IRA,The IRS does not require your consent to any provision of this  document other than the certifications required to avoid backup  withholding,
89,Schwab_IRA,"The automatic investment of your free credit balance, including the frequency and the amount of each sweep, is governed by the terms and conditions set forth in the Cash Features Disclosure Statement and in the Account Agreement applicable to your account. The material in this document is intended for informational purposes only. If there is any conﬂ ict between the descriptions in this document and the terms of the Cash Features Disclosure Statement, the Cash Features Disclosure Statement will control",
90,Schwab_IRA,"Stay on top of your savings with Schwab Intelligent Portfolios Premium™. Our robo-advisor builds, monitors, and automatically rebalances a diversified portfolio based on your goals, plus offers unlimited 1:1 guidance from a CFP® professional.",
91,ICICI_LOMBARD,"During FY2019, we settled 99.87 % health insurance claims and 93.14% motor insurance claims (own damage) within 30 days of claim filing.*",
92,ICICI_LOMBARD,"Well, we don’t wish to blow our own trumpet, but the Indian Insurance Award of ‘Claim Leader – General Insurance’ only validates why we remain your smartest choice.",
93,ICICI_LOMBARD,ICRA (an Associate of Moody's Investors Service) has assigned iAAA rating indicating highest claims paying ability to ICICI Lombard General Insurance Company Limited.,
94,ICICI_LOMBARD,"The PMFBY was launched in 2016 and replaces all the prevailing yield insurance schemes in India. The scheme has extended coverage under localized risks, post-harvest losses etc. and aims at adoption of technology for the purpose of yield estimation. Through increased farmer awareness and low farmer premium rates the scheme aims at increasing the crop insurance penetration in India.",
95,ICICI_LOMBARD,Commercial term that buyer shall accept delivery of goods at the same place where it lies and in the same condition as it exists at the time of inspection prior to purchase. In General Insurance this term is used mostly relating to salvage disposal transactions.,
96,ICICI_LOMBARD,"Any one accident. The term, in relation to liability insurance, refers to the maximum liability of the insurer in respect of all claims, both for bodily injury and property damages of third parties arising out of any one accident.",
97,ICICI_LOMBARD,"Any one vessel. The term, which relates to Marine Cargo Insurance, refers to the insurer's maximum commitment under the policy for all cargo in respect of any one vessel.",
98,ICICI_LOMBARD,An expert in statistics and a mathematician in the insurance field. Conducts extensive statistical studies. Calculates insurance risks and premiums and reserves. Involves in the preparation of various annual reports in compliance of regulatory requirements.,
99,ICICI_LOMBARD,"A branch of knowledge which deals with mathematics of insurance. It is used in the evaluation of various risks, premium fixation commensurate with the risks and also provisions relating to unexpired risks and unexpired liabilities.",
100,ICICI_LOMBARD,"Any event not caused or contributed to by man. Some sudden and irresistible acts of nature that could not reasonably have been foreseen or prevented, such as floods or exceptionally high tides, storms, lightning, earthquakes etc. constitute Act of God Perils.",
101,ICICI_LOMBARD,"A clause included in Excess of Loss Treaties pertaining to Liability Insurance, where such liability is statutory, to take care of changes in law or act about quantum of compensation during the cover period, by revision of rate and/or underlying loss retention as well as the limit of the excess of loss cover.",
102,ICICI_LOMBARD,This refers to the expenses incurred by the Direct Insurer for acquiring Direct Premium. Normally commission expenses come under this category. Even brokerage paid if any and also initial publicity expenses for product launches can be considered as acquisition costs.,
103,ICICI_LOMBARD,"Acquisition cost incurred by the direct insurer towards procuring business, which is taken into account by the reinsurer while fixing the reinsurance commission for the reinsurance offered.",
104,ICICI_LOMBARD,Condition characterized by illness indicative of reduced immune responsiveness in otherwise healthy individuals. The Standard Mediclaim Insurance Policy does not extend cover for AIDS.,
105,ICICI_LOMBARD,"As there are different methods of accounting,especially for specific items in the insurance companies, the company is expected to explain the method of its accounting by its accounting policy, which will be attached to the annual accounts.",
106,ICICI_LOMBARD,"Basis of accounting by a company where,in addition to the money received or paid,outstanding incomes as well as expenses are recognized.",
107,ICICI_LOMBARD,Basis of accounting by a company where all accounting is done only if money is either received or paid and so no dues are recognized.,
108,ICICI_LOMBARD,"Purely by circumstances which are wholly unexpected, unforeseen and beyond the control of the insured/beneficiary under the policy.",
109,ICICI_LOMBARD,"A measurement of the seriousness of accidents occurring within a given period, judged either by their cost or by the nature of the damage or injury to which they give rise.",
110,ICICI_LOMBARD,A measurement of number of accidents occurring in a given period.,
111,ICICI_LOMBARD,An unlooked for mishap or an untoward event which is not expected or designed.,
112,ICICI_LOMBARD,The term generally refers to those parts which are directly supplied by the manufacturer along with the equipment /vehicle but which are not essential for the operation/running of the equipment/vehicle.,
113,ICICI_LOMBARD,"The term, also called the Inspection of Records Clause, refers to the right of the reinsure to inspect any books or records of the Reinsured Company, at the expense of the former.",
114,ICICI_LOMBARD,"Health Insurance is a crucial instrument that provides you and your loved ones financial security in times of need. Thus, whether an emergency or a planned hospitalisation, a health insurance policy ensures umbrella coverage by helping you pay for the covered medical expenses in case of hospitalisation due to illness or injury.",
115,ICICI_LOMBARD,"What's more, other than safeguarding your finances from hospitalisation expenses, you can avail tax benefits on the premiums paid towards your health insurance under Section 80D of the Income Tax Act, subject to terms and conditions. This makes a Health Insurance plan a favourable tax-planning tool that adds a feather to the cap on your investments.",
116,ICICI_LOMBARD,"ICICI Lombard offers Complete Health Insurance, Super Top-Up Health Booster and Personal Protect plan,which give you a comprehensive solution in times of medical and non-medical emergencies.",
117,ICICI_LOMBARD,The British Standard Institution (BSI) has awarded a Certificate of Compliance to ICICI Lombard – the first Indian company to be certified with the ISO 31000:2018,
118,ICICI_LOMBARD,"Every person who intends to acquire or make an arrangement or agreement for acquisition of equity shares amounting to more than 1% but less than 5% of the paid up equity share capital of the Company will be required to submit a self-certification for compliance with ""Fit & Proper"" criteria with the Company.",
119,ICICI_LOMBARD,"No matter where you are, stay assured of quality healthcare. Avail travel insurance plans that offer cashless hospitalisation facilities across the globe, so you can be at peace when you travel.",
120,ICICI_LOMBARD,Hospitalization expenses (both in-patient and out-patient) will be payable in case the insured is hospitalized in the destination country due to COVID-19.,
121,ICICI_LOMBARD,Claims will be payable for the financial loss incurred by the insured if the scheduled trip is cancelled or interrupted due to hospitalization* of the insured/immediate family member due to COVID-19,
122,HDFC ,"You can open a savings account with HDFC Bank, India’s No.1 Bank instantly through our digital application process. You can do this from the comfort and safety of your home; no need to visit the branch.",
123,HDFC ,Select customers can get a credit card instantly. You can apply through our digital application process and check your eligibility. Select customers will get their credit card instantly through an e-mail. Details such as PIN and CVV will be shared separately for security reasons and you can start using your card for online transactions instantly,
124,HDFC ,You pay lower EMI in the initial period of your loan and the EMIs are increased in the future period. So that paying now becomes easier and less of a burden. The EMIs are increased in a later period when the situation should be far better and you can manage to pay higher EMIs,
125,HDFC ,We are offering businesses an emergency credit line facility – which is an additional loan amount up to 20% of their existing loan outstanding with us to help them to tide over these tough times,
126,HDFC ,"We understand that while we take care of our customers and our employees, the COVID situation is a much larger problem and we as a leading Bank of the country need to play an active role in supporting the country and aiding in the fight against COVID.",
127,HDFC ,HDFC Group has donated INR 150 Crores to the PM Cares Fund to support the government in fighting the COVID situation,
128,HDFC ,We realise that the interest and safety of our citizens is larger than the Brand. HDFC Bank has placed safety grids (a part of our logo unit) at almost 5000 essentials stores (including medical stores and grocery stores) across 9 cities to help Indians practice social distancing,
129,HDFC ,We created a song in partnership with AR Rahman to help create hope and positivity amongst Indians. The video reached more than 30 million Indians and it was also leveraged to get more donations to the PM Cares Fund.,
130,HDFC ,We recommend that you use our Digital Banking platforms for your banking needs from the comfort of your home. Here are details on how to use our Mobile App and NetBanking portals.,
131,HDFC ,"To send money within the same city or a different city in India, you may use NEFT or IMPS or UPI to transfer the money and ensure that they financially looked after. To know more, please visit our Money Transfers section.",
132,HDFC ,"If you have your loved ones abroad and wish to help them out financially, you may use our NetBanking platform to transfer money seamlessly. No queues, no cheques, no forms or letters, no hassles.",
133,HDFC ,"After you have logged in, you can change your password using the ""Change password"" option in the top part of the screen. You have to type your current password and the new password you have chosen in their respective boxes.",
134,HDFC ,You will receive your new ATM PIN by post within 10 days from when your request has been submitted.,
135,HDFC ,"No, for security reasons we send you your ATM PIN only by post.",
136,HDFC ,"Click on the ""Autopay register"" link on the left side margin.",
137,HDFC ,Select the Credit Card number that you want to register for the Autopay facility and your HDFC Bank account number from which you want your Credit Card payments to be made.,
138,HDFC ,"If you want the full amount of your statement to be paid from your bank account select the ""Total amount due"" link, and if you want only the minimum amount due (5% of total amount) to be paid, select ""Minimum Amount Due"".",
139,HDFC ,"Yes, your HDFC Bank Chip Credit card can be used anywhere in the world wherever Visa/MasterCard are accepted. ",
